ds,yhat
2024-11-19 08:40:00,73.789116
2024-11-19 08:45:00,78.08
2024-11-19 08:50:00,80.74265
2024-11-19 08:55:00,82.49141
2024-11-19 09:00:00,86.26854
2024-11-19 09:05:00,86.50761
2024-11-19 09:10:00,99.011154
2024-11-19 09:15:00,99.83168
2024-11-19 09:20:00,99.813255
2024-11-19 09:25:00,102.18562
2024-11-19 09:30:00,104.22108
2024-11-19 09:35:00,105.580124
2024-11-19 09:40:00,105.40239
2024-11-19 09:45:00,105.995415
2024-11-19 09:50:00,105.09959
2024-11-19 09:55:00,105.90595
2024-11-19 10:00:00,104.86348
2024-11-19 10:05:00,106.46129
2024-11-19 10:10:00,105.6536
2024-11-19 10:15:00,109.44344
2024-11-19 10:20:00,105.371254
2024-11-19 10:25:00,103.490555
2024-11-19 10:30:00,110.75074
2024-11-19 10:35:00,107.22238
2024-11-19 10:40:00,105.83965
2024-11-19 10:45:00,105.69103
2024-11-19 10:50:00,105.54762
2024-11-19 10:55:00,105.49605
2024-11-19 11:00:00,106.20219
2024-11-19 11:05:00,106.8116
2024-11-19 11:10:00,105.23279
2024-11-19 11:15:00,106.14122
2024-11-19 11:20:00,106.61232
2024-11-19 11:25:00,105.72377
2024-11-19 11:30:00,103.82866
2024-11-19 11:35:00,104.04018
2024-11-19 11:40:00,103.59191
2024-11-19 11:45:00,101.577286
2024-11-19 11:50:00,103.03833
2024-11-19 11:55:00,103.08854
2024-11-19 12:00:00,103.04025
2024-11-19 12:05:00,98.719246
2024-11-19 12:10:00,95.8688
2024-11-19 12:15:00,90.34532
2024-11-19 12:20:00,82.79338
2024-11-19 12:25:00,79.12325
2024-11-19 12:30:00,76.76432
2024-11-19 12:35:00,74.80865
2024-11-19 12:40:00,72.315575
2024-11-19 12:45:00,71.2071
2024-11-19 12:50:00,69.30877
2024-11-19 12:55:00,68.599174
2024-11-19 13:00:00,69.741005
2024-11-19 13:05:00,68.27741
2024-11-19 13:10:00,72.87204
2024-11-19 13:15:00,72.58982
2024-11-19 13:20:00,74.63636
2024-11-19 13:25:00,75.92874
2024-11-19 13:30:00,76.54396
2024-11-19 13:35:00,76.72727
2024-11-19 13:40:00,76.69756
2024-11-19 13:45:00,77.55259
2024-11-19 13:50:00,77.58676
2024-11-19 13:55:00,78.35514
2024-11-19 14:00:00,77.69444
2024-11-19 14:05:00,79.498505
2024-11-19 14:10:00,86.92711
2024-11-19 14:15:00,87.35398
2024-11-19 14:20:00,85.80152
2024-11-19 14:25:00,86.26403
2024-11-19 14:30:00,83.84356
2024-11-19 14:35:00,84.604675
2024-11-19 14:40:00,85.37849
2024-11-19 14:45:00,86.509476
2024-11-19 14:50:00,84.435356
2024-11-19 14:55:00,84.40478
2024-11-19 15:00:00,84.91621
2024-11-19 15:05:00,85.37932
2024-11-19 15:10:00,82.77086
2024-11-19 15:15:00,86.50726
2024-11-19 15:20:00,85.53026
2024-11-19 15:25:00,84.09187
2024-11-19 15:30:00,81.18597
2024-11-19 15:35:00,80.69831
2024-11-19 15:40:00,80.513176
2024-11-19 15:45:00,79.72501
2024-11-19 15:50:00,79.958626
2024-11-19 15:55:00,77.930176
2024-11-19 16:00:00,75.628746
2024-11-19 16:05:00,75.06466
2024-11-19 16:10:00,72.17074
2024-11-19 16:15:00,73.32738
2024-11-19 16:20:00,70.94308
2024-11-19 16:25:00,68.6113
2024-11-19 16:30:00,66.162735
2024-11-19 16:35:00,63.53954
2024-11-19 16:40:00,60.937653
2024-11-19 16:45:00,58.90097
2024-11-19 16:50:00,58.651897
2024-11-19 16:55:00,58.155685
2024-11-19 17:00:00,55.416973
2024-11-19 17:05:00,51.43037
2024-11-19 17:10:00,50.136463
2024-11-19 17:15:00,50.187103
2024-11-19 17:20:00,47.396866
2024-11-19 17:25:00,45.561302
2024-11-19 17:30:00,42.695625
2024-11-19 17:35:00,42.0999
2024-11-19 17:40:00,39.29347
2024-11-19 17:45:00,39.834755
2024-11-19 17:50:00,38.297714
2024-11-19 17:55:00,37.3188
2024-11-19 18:00:00,35.67992
2024-11-19 18:05:00,33.697975
2024-11-19 18:10:00,32.91378
2024-11-19 18:15:00,31.17582
2024-11-19 18:20:00,29.729849
2024-11-19 18:25:00,28.63065
2024-11-19 18:30:00,28.829939
2024-11-19 18:35:00,27.207424
2024-11-19 18:40:00,26.184692
2024-11-19 18:45:00,25.64267
2024-11-19 18:50:00,24.781206
2024-11-19 18:55:00,23.427225
2024-11-19 19:00:00,23.050566
2024-11-19 19:05:00,22.573868
2024-11-19 19:10:00,21.93522
2024-11-19 19:15:00,20.912336
2024-11-19 19:20:00,19.961376
2024-11-19 19:25:00,19.362404
2024-11-19 19:30:00,19.4026
2024-11-19 19:35:00,19.267328
2024-11-19 19:40:00,18.596014
2024-11-19 19:45:00,17.9747
2024-11-19 19:50:00,17.548798
2024-11-19 19:55:00,17.227707
2024-11-19 20:00:00,16.627396
2024-11-19 20:10:00,15.949112
2024-11-19 20:15:00,15.031447
2024-11-19 20:20:00,14.054057
2024-11-19 20:25:00,12.848661
2024-11-19 20:30:00,14.127797
2024-11-19 20:35:00,12.907176
2024-11-19 20:40:00,12.077678
2024-11-19 20:45:00,11.483724
2024-11-19 20:50:00,11.564178
2024-11-19 20:55:00,10.528568
2024-11-19 21:00:00,9.604934
2024-11-19 21:05:00,8.950729
2024-11-19 21:10:00,8.694531
2024-11-19 21:15:00,7.506818
2024-11-19 21:20:00,6.9003735
2024-11-19 21:25:00,6.43471
2024-11-19 21:30:00,5.9012074
2024-11-19 21:35:00,5.6596932
2024-11-19 21:40:00,5.2119055
2024-11-19 21:45:00,5.367641
2024-11-19 21:50:00,5.147803
2024-11-19 21:55:00,4.909769
2024-11-19 22:00:00,4.9878693
2024-11-19 22:05:00,4.6581807
2024-11-19 22:10:00,4.6211734
2024-11-19 22:15:00,4.6155453
